attraction_name,attraction_address,zip_code,attraction_rating,attraction_n_reviews,attraction_url,popular_mentions
D'Alfonso-Curran Winery,"1557 Mission Dr, Solvang, CA 93463-2607",93463,5.0,5,https://www.tripadvisor.com/Attraction_Review-g33103-d2279549-Reviews-D_Alfonso_Curran_Winery-Solvang_California.html,"['Filters', 'English', 'Detailed Reviews']"
Grape Crusher Statue,"Napa Valley Corporate Dr, Napa, CA 94558",94558,4.5,8,https://www.tripadvisor.com/Attraction_Review-g32766-d13942395-Reviews-Grape_Crusher_Statue-Napa_Napa_Valley_California.html,"['Filters', 'English', 'Detailed Reviews', 'bronze', 'meritage', 'sculptures', 'cast', 'fun', 'vineyard']"
San Luis Rey River Trail,"N. Sante Fe Ave N Sante Fe at San Luis Rey Mission Expressway, Oceanside, CA 92057",92057,4.0,48,https://www.tripadvisor.com/Attraction_Review-g32815-d9569105-Reviews-San_Luis_Rey_River_Trail-Oceanside_California.html,"['Filters', 'English', 'Detailed Reviews', 'bike', 'ride', 'trees', 'birds']"
Law Estate Wines,"3885 Peachy Canyon Rd, Paso Robles, CA 93446-9691",93446,4.5,62,https://www.tripadvisor.com/Attraction_Review-g32861-d7712102-Reviews-Law_Estate_Wines-Paso_Robles_San_Luis_Obispo_County_California.html,"['Filters', 'English', 'Detailed Reviews', 'favorite winery', 'private tasting', 'tasting experience', 'reservation', 'host', 'glass', 'wines', 'paso', 'wineries', 'hospitality', 'grenache', 'shipment']"
Forever Wild Exotic Animal Sanctuary,"8545 Buttemere Rd, Phelan, CA 92371-6906",92371,4.5,37,https://www.tripadvisor.com/Attraction_Review-g32876-d4307777-Reviews-Forever_Wild_Exotic_Animal_Sanctuary-Phelan_California.html,"['Filters', 'English', 'Detailed Reviews']"
Christie Avenue Park,"6200 Christie Avenue, Emeryville, CA 94608",94608,4.0,9,https://www.tripadvisor.com/Attraction_Review-g32352-d7961718-Reviews-Christie_Avenue_Park-Emeryville_California.html,"['Filters', 'English', 'Detailed Reviews']"
Peloton Cellars,"470 Front Street, Avila Beach, CA 93424",93424,4.5,13,https://www.tripadvisor.com/Attraction_Review-g29124-d8028039-Reviews-Peloton_Cellars-Avila_Beach_San_Luis_Obispo_County_California.html,"['Filters', 'English', 'Detailed Reviews', 'tasting room', 'winery', 'wines', 'fun']"
Forest Lawn Memorial Park - Hollywood Hills,"6300 Forest Lawn Dr, Los Angeles, CA 90068-1018",90068,4.5,95,https://www.tripadvisor.com/Attraction_Review-g32655-d1307644-Reviews-Forest_Lawn_Memorial_Park_Hollywood_Hills-Los_Angeles_California.html,"['Filters', 'English', 'Detailed Reviews', 'whole process', 'glendale', 'cemetery', 'buried']"
Humboldt Bay National Wildlife Refuge Complex,"1020 Ranch Rd, Loleta, CA 95551-9633",95551,4.5,15,https://www.tripadvisor.com/Attraction_Review-g32641-d10275534-Reviews-Humboldt_Bay_National_Wildlife_Refuge_Complex-Loleta_Humboldt_County_California.html,"['Filters', 'English', 'Detailed Reviews', 'bird watching', 'migrating birds', 'paths']"
Benicia Historical Museum,"2060 Camel Rd, Benicia, CA 94510-2339",94510,4.5,26,https://www.tripadvisor.com/Attraction_Review-g32064-d144701-Reviews-Benicia_Historical_Museum-Benicia_California.html,"['Filters', 'English', 'Detailed Reviews']"
